WebServer,Our
0,0
0.2379,0.11843
0.2389,0.1189
0.2366,0.11289
0.2379,0.11871
0.2379,0.11867
0,0.00004
0.2351,0.13082
0.2351,0.13067
0.2379,0.11866
0.2342,0.13455
0.2379,0.12685
0.2326,0.13635
0.2371,0.11301
0.2369,0.12793
0.2369,0.11842
0.2342,0.11838
0.2366,0.12006
0.2364,0.13566
0.2345,0.12006
0.2353,0.12248
0.2356,0.13602
0.2394,0.1165
0.2364,0.12541
0.2364,0.11948
0.2352,0.12216
0.2361,0.11883
0.2351,0.11743
0.2379,0.11833
0,0
0.0009,0.00017
0.0328,0.02888
0.0002,0.00021
0.0001,0.0001
0.2376,0.11833
0.0215,0.01766
0.0214,0.01768
0.0008,0.00017
0.0292,0.02442
0.0008,0.00016
0.0203,0.01678
0.0226,0.01823
0.0002,0.00013
0.0002,0.00018
0.0292,0.02446
0.0224,0.01799
0.0177,0.01527
0.0225,0.0178
0.0202,0.01578
0.0224,0.01775
0.0212,0.01656
0.0177,0.01525
0.0177,0.01522
0.0217,0.01714
0.0197,0.01704
0.0295,0.02549
0.2389,0.11864
0.0009,0.00017
0,0
0.0328,0.02886
0.0011,0.00018
0.0011,0.00013
0.2386,0.1184
0.0215,0.01764
0.0214,0.01767
0.0018,0.00024
0.0292,0.02441
0.0018,0.00016
0.0203,0.01685
0.0226,0.01824
0.0002,0.00024
0.0002,0.0002
0.0292,0.02438
0.0225,0.01814
0.0179,0.01527
0.0226,0.01779
0.0202,0.01582
0.0224,0.01782
0.0213,0.01655
0.0179,0.01527
0.0178,0.01531
0.0218,0.01715
0.0197,0.01705
0.0294,0.02538
0.2366,0.11296
0.0328,0.02895
0.0328,0.02885
0,0
0.0328,0.02891
0.0328,0.02885
0.2363,0.11267
0.0327,0.02902
0.0326,0.029
0.0328,0.02896
0.0346,0.0309
0.0328,0.02896
0.033,0.02917
0.0313,0.02787
0.0326,0.02902
0.0327,0.029
0.0348,0.03078
0.0326,0.02868
0.0323,0.02905
0.0324,0.02862
0.0326,0.02939
0.0326,0.02869
0.0337,0.02969
0.0324,0.02898
0.0323,0.029
0.0332,0.02954
0.0317,0.02871
0.0347,0.03137
0.2379,0.11841
0.0002,0.00021
0.0011,0.00018
0.0328,0.02883
0,0
0.0001,0.00019
0.2376,0.1184
0.0216,0.0177
0.0218,0.01772
0.0006,0.00025
0.0292,0.02441
0.0006,0.00022
0.0203,0.01673
0.0229,0.01824
0.0002,0.00018
0.0002,0.0002
0.0292,0.02444
0.0225,0.018
0.018,0.01531
0.0226,0.01782
0.0202,0.01577
0.0224,0.01777
0.0209,0.01654
0.0179,0.01532
0.0178,0.01521
0.0219,0.01714
0.0197,0.017
0.0295,0.02543
0.2379,0.1184
0.0001,0.0001
0.0011,0.00013
0.0328,0.02886
0.0001,0.00019
0,0
0.2376,0.1184
0.0215,0.01768
0.0214,0.01771
0.0006,0.00025
0.0291,0.02442
0.0006,0.00014
0.0203,0.01678
0.0226,0.01823
0.0002,0.00019
0.0002,0.00024
0.0292,0.02445
0.0224,0.01808
0.0179,0.01532
0.0225,0.0178
0.0202,0.01577
0.0224,0.01781
0.0213,0.01645
0.0179,0.0153
0.0178,0.01527
0.0218,0.01716
0.0196,0.01704
0.0294,0.02545
0,0.00004
0.2376,0.11866
0.2386,0.1189
0.2363,0.11289
0.2376,0.11894
0.2376,0.1189
0,0
0.2348,0.13082
0.2347,0.13067
0.2376,0.11866
0.2338,0.13455
0.2376,0.12713
0.2322,0.13635
0.2368,0.11357
0.2366,0.12793
0.2366,0.11865
0.2338,0.11867
0.2362,0.12006
0.2361,0.13566
0.2341,0.12006
0.2349,0.12248
0.2352,0.13602
0.2389,0.11679
0.2361,0.12541
0.2361,0.11948
0.2348,0.12216
0.2357,0.11883
0.2347,0.11743
0.2351,0.11393
0.0215,0.01766
0.0215,0.01764
0.0327,0.02901
0.0216,0.01769
0.0215,0.01766
0.2348,0.11361
0,0
0.0001,0.00008
0.0216,0.01767
0.0272,0.02416
0.0215,0.01769
0.0219,0.01921
0.0086,0.00675
0.0212,0.01767
0.0213,0.01775
0.0273,0.02416
0.0201,0.01648
0.0218,0.01812
0.02,0.01648
0.0213,0.0182
0.0201,0.01656
0.0221,0.01824
0.0219,0.01803
0.0217,0.01803
0.0224,0.01889
0.0211,0.01781
0.0281,0.02514
0.2351,0.11386
0.0214,0.01768
0.0214,0.01764
0.0326,0.02899
0.0218,0.01772
0.0214,0.01769
0.2347,0.11354
0.0001,0.00008
0,0
0.0218,0.01767
0.0273,0.02416
0.0214,0.01769
0.0221,0.01916
0.0086,0.00675
0.0211,0.01767
0.0216,0.01778
0.0273,0.02414
0.0197,0.0164
0.0221,0.0181
0.0196,0.01645
0.0215,0.01817
0.0197,0.01653
0.022,0.01823
0.0221,0.018
0.022,0.01807
0.0228,0.01889
0.021,0.01781
0.0285,0.02514
0.2379,0.11864
0.0008,0.00017
0.0018,0.00024
0.0328,0.02888
0.0006,0.00025
0.0006,0.00025
0.2376,0.1184
0.0216,0.01769
0.0218,0.01769
0,0
0.0291,0.02443
0.0003,0.00021
0.0204,0.0167
0.0229,0.01823
0.0002,0.00016
0.0002,0.00019
0.0291,0.02447
0.0225,0.01798
0.0178,0.01531
0.0226,0.01778
0.0203,0.01583
0.0224,0.01773
0.021,0.01661
0.0178,0.01525
0.0177,0.01528
0.0217,0.01707
0.0196,0.017
0.0295,0.02546
0.2342,0.11874
0.0292,0.02441
0.0292,0.0244
0.0346,0.03091
0.0292,0.02441
0.0291,0.02438
0.2338,0.1184
0.0272,0.0242
0.0273,0.0242
0.0291,0.02445
0,0
0.0291,0.02446
0.0277,0.02451
0.0275,0.02396
0.029,0.02453
0.029,0.02456
0.003,0.00005
0.0292,0.02563
0.0271,0.0232
0.0292,0.02557
0.027,0.02402
0.0293,0.02562
0.0275,0.02421
0.0272,0.0232
0.0271,0.02319
0.0263,0.02326
0.0274,0.0238
0.0186,0.01574
0.2379,0.11833
0.0008,0.00016
0.0018,0.00016
0.0328,0.02884
0.0006,0.00022
0.0006,0.00014
0.2376,0.11833
0.0215,0.0177
0.0214,0.01769
0.0003,0.00021
0.0291,0.02444
0,0
0.0203,0.01668
0.0226,0.01824
0.0002,0.00018
0.0003,0.0003
0.0292,0.02441
0.0225,0.0181
0.0178,0.01528
0.0226,0.01784
0.0202,0.01576
0.0224,0.01786
0.0213,0.01648
0.0178,0.01531
0.0178,0.01537
0.0218,0.01718
0.0196,0.01703
0.0293,0.02551
0.2326,0.12154
0.0203,0.0168
0.0203,0.01683
0.033,0.0291
0.0203,0.01672
0.0203,0.01676
0.2322,0.12127
0.0219,0.01925
0.0221,0.0192
0.0204,0.01667
0.0277,0.02446
0.0203,0.01674
0,0.00001
0.0229,0.0196
0.0201,0.01665
0.0202,0.01685
0.0278,0.02445
0.0217,0.01777
0.0191,0.01583
0.022,0.01773
0.0197,0.01713
0.0213,0.01766
0.0196,0.0156
0.0191,0.01594
0.0191,0.01585
0.0215,0.01705
0.0201,0.01765
0.0306,0.02544
0.2371,0.11269
0.0226,0.01821
0.0226,0.01823
0.0313,0.02787
0.0229,0.01823
0.0226,0.01821
0.2368,0.11292
0.0086,0.00664
0.0086,0.00662
0.0229,0.01822
0.0275,0.02397
0.0226,0.01822
0.0229,0.01957
0,0
0.0223,0.01816
0.0226,0.01822
0.0276,0.02418
0.0208,0.01697
0.0218,0.01828
0.0203,0.01693
0.0222,0.01833
0.0207,0.01684
0.0224,0.0189
0.0219,0.01823
0.0219,0.01823
0.0224,0.01892
0.0216,0.01759
0.0285,0.02523
0.2369,0.11867
0.0002,0.00013
